epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1854.4,1.62923,1.25311,0.96714,0.62691,0.50835,0.54277,0.37586,1.58441,1.16619,0.95793,0.000269774,0.000269774,0.000269774
43,1904.71,1.63945,1.24989,0.96142,0.65537,0.49661,0.54906,0.38626,1.58264,1.15636,0.95991,0.000262013,0.000262013,0.000262013
44,1948.94,1.63666,1.25518,0.95971,0.60992,0.51934,0.54703,0.37266,1.61975,1.17234,0.9631,0.000254251,0.000254251,0.000254251
45,1990.93,1.63234,1.23815,0.95103,0.63424,0.5137,0.56148,0.3864,1.59616,1.16771,0.95564,0.00024649,0.00024649,0.00024649
46,2031.04,1.63172,1.224,0.96123,0.65863,0.50685,0.55624,0.39003,1.56997,1.15159,0.95703,0.000238728,0.000238728,0.000238728
47,2066.22,1.61504,1.22184,0.9535,0.57435,0.54306,0.55349,0.38793,1.57231,1.1341,0.95233,0.000230966,0.000230966,0.000230966
48,2102.56,1.60107,1.20749,0.95232,0.63757,0.53702,0.56807,0.3941,1.58633,1.14464,0.95563,0.000223205,0.000223205,0.000223205
49,2138.1,1.60029,1.19654,0.95847,0.69498,0.52615,0.58147,0.40776,1.55678,1.13851,0.95187,0.000215443,0.000215443,0.000215443
50,2188.29,1.58598,1.19951,0.95537,0.66471,0.54759,0.57952,0.40295,1.57512,1.14017,0.95345,0.000207682,0.000207682,0.000207682
51,2224.25,1.58027,1.19231,0.95069,0.6136,0.55174,0.58085,0.40927,1.56801,1.12352,0.95341,0.00019992,0.00019992,0.00019992
52,2266.87,1.59785,1.18788,0.95085,0.6542,0.54728,0.58926,0.41197,1.56038,1.11778,0.94944,0.000192158,0.000192158,0.000192158
53,2302.33,1.58511,1.17831,0.95084,0.66117,0.53863,0.58711,0.41148,1.55477,1.11085,0.95058,0.000184397,0.000184397,0.000184397
54,2357.76,1.60782,1.1803,0.94836,0.68839,0.5519,0.5972,0.42075,1.5491,1.10506,0.94823,0.000176635,0.000176635,0.000176635
55,2397.88,1.56629,1.16348,0.94338,0.65835,0.55401,0.59669,0.41878,1.54912,1.09461,0.94521,0.000168874,0.000168874,0.000168874
56,2435.33,1.56877,1.15113,0.94223,0.65804,0.55802,0.60202,0.42503,1.5439,1.09977,0.94649,0.000161112,0.000161112,0.000161112
57,2470.95,1.56566,1.15293,0.94752,0.65798,0.56397,0.60449,0.42945,1.52011,1.09057,0.94288,0.00015335,0.00015335,0.00015335
58,2507.8,1.5471,1.13604,0.94028,0.65564,0.57572,0.61207,0.434,1.52803,1.07578,0.94251,0.000145589,0.000145589,0.000145589
59,2541.95,1.56028,1.14105,0.94293,0.65611,0.57065,0.60404,0.4291,1.52323,1.08085,0.94232,0.000137827,0.000137827,0.000137827
60,2577.44,1.57505,1.14628,0.93998,0.6876,0.55785,0.60409,0.42823,1.52374,1.07811,0.94176,0.000130066,0.000130066,0.000130066
61,2613.45,1.54662,1.13671,0.9402,0.67618,0.55783,0.60702,0.43371,1.52487,1.07473,0.94184,0.000122304,0.000122304,0.000122304
62,2653.27,1.56452,1.12754,0.94221,0.71714,0.53995,0.60766,0.43154,1.51569,1.07367,0.94175,0.000114542,0.000114542,0.000114542
63,2689,1.5738,1.14178,0.94409,0.64596,0.6012,0.61698,0.43837,1.51702,1.06904,0.9417,0.000106781,0.000106781,0.000106781
64,2724.28,1.55365,1.12512,0.94095,0.68102,0.57436,0.61812,0.44286,1.50805,1.06101,0.9376,9.90192e-05,9.90192e-05,9.90192e-05
65,2762.65,1.58737,1.14721,0.94193,0.68675,0.57687,0.61406,0.43809,1.50801,1.05544,0.93951,9.12576e-05,9.12576e-05,9.12576e-05
66,2801.15,1.51866,1.10638,0.93992,0.69922,0.5767,0.6213,0.44162,1.51674,1.05375,0.94044,8.3496e-05,8.3496e-05,8.3496e-05
67,2836.53,1.55904,1.11745,0.93596,0.68621,0.58501,0.62135,0.44091,1.50854,1.05691,0.93761,7.57344e-05,7.57344e-05,7.57344e-05
68,2872.94,1.53361,1.09861,0.93502,0.68883,0.58119,0.61995,0.44055,1.50838,1.05759,0.93765,6.79728e-05,6.79728e-05,6.79728e-05
69,2908.84,1.52804,1.10776,0.93366,0.686,0.5906,0.62201,0.44308,1.50805,1.04758,0.93697,6.02112e-05,6.02112e-05,6.02112e-05
70,2945.61,1.52454,1.10481,0.93442,0.70413,0.58458,0.62889,0.44506,1.51094,1.04501,0.93841,5.24496e-05,5.24496e-05,5.24496e-05
71,3086.81,1.53262,1.1084,0.93268,0.68704,0.58734,0.62359,0.44598,1.51069,1.04884,0.93778,4.4688e-05,4.4688e-05,4.4688e-05
72,3121.62,1.52906,1.10764,0.93865,0.70284,0.59416,0.6312,0.44922,1.50484,1.04556,0.93656,3.69264e-05,3.69264e-05,3.69264e-05
73,3162.05,1.52995,1.09465,0.93035,0.68694,0.59448,0.63083,0.44943,1.50052,1.03525,0.93552,2.91648e-05,2.91648e-05,2.91648e-05
74,3216.23,1.53661,1.1017,0.93243,0.69414,0.59563,0.6312,0.44905,1.49666,1.04138,0.93546,2.14032e-05,2.14032e-05,2.14032e-05
75,3259.05,1.52051,1.08323,0.93435,0.6888,0.59515,0.63058,0.44873,1.49567,1.03498,0.93436,1.36416e-05,1.36416e-05,1.36416e-05
